N°,client,consultation_id,intitule_projet,lien,Selection
1,ANETI,TN-ANETI-11/2023-NC-RFB,Refonte du système d’information métier de l’ANETI,,1
2,UNIVJENDOUBA - Université de Jendouba,N° 04/2023,création d'un site web au profit de l'université de Jendouba et ses établissements,,1
3,ISET Jendouba,S20240102471,"conception,développemnt et audit du portail dynamique de l'ISET Jendouba",https://www.tuneps.tn/portail/consultations/consultationdetails/134728/S20240102471,1
4,ISET Jendouba,S20240102882,acquisition d'un logiciel pour la gestion numérique et en ligne des services pédagogiques et administratifs pour l'ISET Jendouba,https://www.tuneps.tn/portail/consultations/consultationdetails/135228/S20240102882,1
5,Commune de Nabeul,S20240102982,acquisition d'un logicielle pour la Gestion de Maintenance Assistée par Ordinateur,https://www.tuneps.tn/portail/consultations/consultationdetails/135346/S20240102982,1
6,Office National des mines,S20240103734,mise en place d'un portail numérique pour la bibliothèque et le musée géologique de l'ONM,https://www.tuneps.tn/portail/consultations/consultationdetails/136197/S20240103734,1
7,ENIT,S20240103726,conception développement hébergement d'une application web et mobile en architecture Client-Serveur pour les concours nationaux d'entrée aux cycles de formation d'ingénieurs,https://www.tuneps.tn/portail/consultations/consultationdetails/136205/S20240103726,1
8,LCAE - Laboratoire Central dAnalyses et dEssais,N° 03/2023,mise en place d'un progiciel de gestion intégré PGI,,1
88,Hopital régional de béja,20250202998,التزود بمواد و معدات تنظيف و تعقيم لفائدة المستشفى الجهوي بباجة,https://www.tuneps.tn/portail/offres/details/82174/20250202998,0
9,Commune de Nabeul,S20240103584,Acquisition Logiciel de suivi des Dossiers Juridiques,https://www.tuneps.tn/portail/consultations/consultationdetails/136026/S20240103584,1
10,FTUSA - Fédération Tunisienne des sociétés dAssurances,N° 01/2024,acquisition ou le développement d'une plateforme référentiel automobile qui permet de calculer la valeur à neuf et la valeur vénale d'un véhicule sur le marché local,,1
1010,Centre National de Recherches en Sciences des Matériaux,S20250205532,"Travaux de raccordement électrique d’un bâtiment à un groupe électrogène (275KVA, 400A) Et Travaux de réparation et mise en marche d’un onduleur « ON-LINE UPS 60 KVA-48 KW »",https://www.tuneps.tn/portail/consultations/consultationdetails/211354/S20250205532,0
11,ISET RADES,S20240200789,Mise en place d'un portail de gestion adminstrative et de communication à distance pour l'organisation de concours spécifiques au profit des étudiants,https://www.tuneps.tn/portail/consultations/consultationdetails/138087/S20240200789,1
12,Université de Kairouan,S20240200379,Mettre en place une plateforme d'Administration électronique,https://www.tuneps.tn/portail/consultations/consultationdetails/137571/S20240200379,1
13,MTC CNSS,TN-MTCTD-352206-NC-RFB,La fourniture de services de digitalisation du processus de demande de pension des affiliés de la CNSS,,1
1313,Commissariat Régional au Développement Agricole de Gafsa,S20250205510,ENTRETIEN DU POSTE TRANSFORMATEUR HT/BT DE LA STATION DE POMPAGE TRETTECH  (DELEGATION KSAR),https://www.tuneps.tn/portail/consultations/consultationdetails/211332/S20250205510,0
14,FSEGSFAX,--,Développement d'une plateforme digitale pour la gestion de l'école doctorale de la faculté des sciences de Sfax,,1
15,GIZ,N°83460382,mise en place des services d'information Energie Climat au sein des représentations régionales de l'ANME,https://www.tunisurf.com/v3/?mod=6013&aoid=445768&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
1515,Ecole Nationale d’Ingénieurs de Tunis,S20250205403,Acquisition de papier et fournitures de bureaux au profit de l'Ecole Nationale d'Ingénieurs de Tunis,https://www.tuneps.tn/portail/consultations/consultationdetails/211323/S20250205403,0
16,CEPEX Centre de Promotion des Exportations - TUNISIA EXPORT,N°05/24,extension et amélioration du système de la gestion du fonds de promotion des exportations,https://www.tunisurf.com/v3/?mod=6013&aoid=445786&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
1616,Le conseil régional de gouvernorat de Ariana,S20250205506,TRAVAUX D'AMENAGEMENT AU LOCAL ARCHIVE AU SIEGE DU GOUVERNORAT ARIANA,https://www.tuneps.tn/portail/consultations/consultationdetails/211328/S20250205506,0
17,BIAT - Banque Internationale Arabe de Tunisie,N°01/24,mise en place d'une plateforme e-learning,,1
1717,Foyer Universitaire Rakkada,S20250205490,consultation de maintenance du blocs sanitaire a titre d'urgence,https://www.tuneps.tn/portail/consultations/consultationdetails/211310/S20250205490,0
18,CGTD NABEUL 1 - Cellule de Gestion des terres en Déchéances Nabeul,N°110,acquisition d'une solution de gestion commerciale pour caisse enregistreuse,,1
19,GIZ,N°83460310,hébergement et déploiement des applications et plateformes web du centre de transformation digitale GIZ TUNISIE,https://www.tunisurf.com/v3/?mod=6013&aoid=445804&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
1919,Régie des Sondages Hydrauliques (RSH),S20250205502,consultation N°10/2025 2eme fois pour l'acquisition des garnitures en caoutchouc,https://www.tuneps.tn/portail/consultations/consultationdetails/211324/S20250205502,0
20,CTA - Centre Technique dAquaculture,Retirer la consultation du bureau d'ordre,acquisition et mise en place d'une solution de gestion intégrée,https://www.tunisurf.com/v3/?mod=6013&aoid=445986&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
21,UNIVJENDOUBA - Université de Jendouba,--,acquisition d'une solution de gestion des examens et des scanners au profit des établissements relevant de l'université de Jendouba,https://www.tunisurf.com/v3/?mod=6013&aoid=445865&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
22,Société Nationale d’Exploitation et de Distribution des Eaux,20240500107,AO 36-2024 Fourniture et mise en place d’un système de gestion de présence aux différents sites de la SONEDE sur tout le territoire tunisien.,https://www.tuneps.tn/portail/offres/details/64887/20240500107,1
2222,"Direction Régionale de l’Equipement, de l’Habitat et de l’Aménagement du Territoire de Kebili",S20250205520,révision moteur voiture 13115643,https://www.tuneps.tn/portail/consultations/consultationdetails/211342/S20250205520,0
23,Ministére de finance,20240500060,"MISE EN ŒUVRE D’UN APN POUR LE SYSTEME DE GESTION DES CAISSES ENREGISTREUSES FISCALES, ET D’UNE SOLUTION POUR LA GESTION ET LA SUPERVISION DES CARTES SIM DEPLOYEES",https://www.tuneps.tn/portail/offres/details/64781/20240500060,1
24,FSEGMAHDIA - Faculté des sciences économiques  et de gestion de Mahdia,PAQ,Extension et amélioration des fonctionnalités de la plateforme de la salle des marchés,https://www.tunisurf.com/v3/?mod=6013&aoid=451659&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
25,ATCT - Agence Tunisienne de coopération Technique,20240500765,Refonte et développement du site web de l'agence,https://www.tuneps.tn/portail/offres/details/65123/20240500765,1
26,RADIO TUNISIENNE,20240501288,"CONCEPTION ET DEVELOPPEMENT D’UN SITE WEB, UNE APPLICATION MOBILE ET FOURNITURE DE SERVICES DE STREAMING, D’HEBERGEMENT ET RESERVATION DE NOMS DE DOMAINES",,1
27,GIZ,N°83452326,Conception et la réalisation d’un système d’information et d’aide à la décision-des indicateurs de la jeunesse,,1
28,CILG,--,"Conception, développement du site web du Weon Lybie",,1
29,UNIVJENDOUBA - Université de Jendouba,--,amélioration de la plateforme de gestion des emplois du temps et des heures supplémentaires GETEX,,1
30,MT,TN-MTCTD-377103-CS-QCBS,développement et mise en place d'un nouveau système d'information de l'identifiant social au profit du centre de recherche et d'études sociales CRES,,1
31,MT,N° 03/2023,La Mise en place d’une plateforme de gestion des services de confiance numériques sectorielle,,1
32,GIZ,83461089,Développement et mise en place d’une plateforme digitale pour le projet Maisons de Services Administratif MSA Digitale dans 5 municipalités,,1
33,SRT NABEUL,20240600399,Réalisation d’un nouveau site web dynamique,https://www.tuneps.tn/portail/offres/details/67504/20240600399,1
34,BAD,--,Development and Maintenance of the RASME website,https://www.afdb.org/fr/consultants/eoi-development-and-maintenance-rasme-website-tcis-72371,1
35,Office des œuvres universitaires du sud,20240704821,manifestation d’intérêt pour le projet de mise en place d’un portail web,https://www.tuneps.tn/portail/offres/details/69781/20240704821,1
36,Tunisair Handling,--,développement d'une application de gestion des opérations aéroportuaires et de facturation,https://www.tunisurf.com/v3/?mod=6013&aoid=459678&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
37,Université de sousse,S20240902425,Développement d'une plateforme d'accompagnement et de suivi des étudiants et des diplômés.,https://www.tuneps.tn/portail/consultations/consultationdetails/180068/S20240902425,1
38,Université de sousse,S20240901789,plateforme-incubateur virtuel,https://www.tuneps.tn/portail/consultations/consultationdetails/179349/S20240901789,1
39,GIZ,--,Projet de développement et de mise en place des Solutions TATHMINE et TABAA,,1
40,GiZ GmbH,--,Généralisation de la plateforme en ligne de gestion des demandes d'autorisation de recherche-exploitation-occupation du DPH dans les 20 CRDAs,https://www.tunisurf.com/v3/?mod=6013&aoid=465081&ak=MjQ2NzI1fHxwcm9ncmVzcw==&src=NLAO,1
41,SRT Médenine,--,Développement d'une plateforme de vente d'abonnement en ligne,,1
42,ENSIT - Ecole Nationale Supérieure dIngénieurs de Tunis,--,Acquisition installation configuration d'un système d'information universitaire SIU au profit de l'ENSIT Ecole Nationale Supérieure d'ingénieurs de Tunis,,1
